Driver,AverageLapTime,AverageTyreLife,AveragePosition,AverageStint,AverageTrackStatus,Samples,DegradationRate,ConsistencyScore,TyrePreservationIndex,EndStintPerformance,DrivingStyleCluster,DrivingStyle
ALB,91.8373202357564,11.37524557956778,13.768172888015718,2.149312377210216,1.0,509,-0.34868666008513044,8.789414850991944,5.292504570383913,88.98743712574851,0,Conservative Tyre Manager
ALO,91.61734966216216,12.589527027027026,9.109797297297296,2.0067567567567566,1.0,592,-0.15750676701534363,8.37534262598085,6.273569023569023,90.28802590673575,0,Conservative Tyre Manager
BOT,92.68030406504066,14.354471544715446,13.674796747967479,1.9170731707317072,1.0,615,-0.1081944160559372,9.045381257023847,7.487701441899915,91.60474074074075,2,Performance Driver
GAS,92.5538901453958,11.903069466882068,12.534733441033925,2.1421647819063003,1.0,619,-0.07389038795096455,9.615832540863629,5.556561085972851,91.67951707317073,1,Aggressive Driver
HAM,91.60513968253967,13.223809523809523,6.193650793650794,2.049206349206349,1.0,630,-0.0764989757840979,9.18714022409318,6.453137103020914,90.74235751295338,2,Performance Driver
HUL,92.56993711967546,12.068965517241379,14.036511156186613,2.2413793103448274,1.0,493,-0.07403518462815631,9.571798190501958,5.384615384615385,92.03093902439025,1,Aggressive Driver
LEC,91.45643944636679,13.951557093425606,4.56401384083045,1.8650519031141868,1.0,578,-0.1550102080493688,9.391440413695186,7.480519480519481,90.3669947368421,2,Performance Driver
MAG,92.83945056726094,12.13290113452188,14.481361426256077,2.213938411669368,1.0,617,-0.16416254637456637,9.306402654870551,5.4802342606149335,92.02855072463768,1,Aggressive Driver
NOR,92.0013088,12.5984,7.9856,2.1264,1.0,625,-0.12704658033419713,9.650178351895887,5.924755455229496,91.04372549019607,1,Aggressive Driver
OCO,91.70095936395761,12.130742049469964,11.240282685512367,2.008833922261484,1.0,566,-0.23565364669669198,8.996862798359498,6.038698328935795,90.19637142857144,0,Conservative Tyre Manager
PER,91.57441025641026,12.653846153846153,6.032051282051282,1.9887820512820513,1.0,624,0.05348298428216119,9.010994689205148,6.362610797743755,92.36705445544554,2,Performance Driver
PIA,90.04754878048782,13.097560975609756,7.4,1.8560975609756099,1.0,410,0.06376192018315946,8.943704077983236,7.056504599211563,90.45142063492062,2,Performance Driver
RIC,93.3014024691358,12.464197530864197,13.669135802469135,2.108641975308642,1.0,405,-0.21029603381137593,9.348933879944708,5.9110070257611245,91.58740322580645,1,Aggressive Driver
RUS,91.84309651898734,12.01740506329114,4.897151898734177,2.1028481012658227,1.0,632,-0.26105841116755696,9.898119313521661,5.71482317531979,89.84034031413613,0,Conservative Tyre Manager
SAI,91.39895238095238,13.628571428571428,4.522222222222222,2.019047619047619,1.0,630,-0.001579514761064834,8.800899692823128,6.75,90.93705612244898,2,Performance Driver
STR,92.05917283950618,12.691358024691358,12.65784832451499,2.0793650793650795,1.0,567,-0.11434299743933297,9.173230911667181,6.103477523324851,91.74690957446808,1,Aggressive Driver
TSU,91.95385652173913,11.380434782608695,12.439130434782609,2.2456521739130433,1.0,460,-0.15220526143098181,8.646426908772046,5.067763794772508,90.54374100719423,0,Conservative Tyre Manager
VER,91.13386464968153,12.44108280254777,2.578025477707006,1.9522292993630572,1.0,628,-0.03213998747558462,9.352361153096629,6.372756933115824,90.77171641791045,2,Performance Driver
ZHO,92.2572304964539,13.01950354609929,13.97163120567376,2.074468085106383,1.0,564,-0.11131711853458541,8.895178724257038,6.276068376068377,91.16890395480226,1,Aggressive Driver
