Team,count,mean,median,std,min,max
Red Bull Racing,1252,91.35343370607029,88.6725,9.182783372334741,76.33,138.778
Ferrari,1208,91.42645860927152,88.8135,9.084507418250787,77.897,147.541
Kick Sauber,463,91.61033261339094,96.365,8.46609103142247,78.771,121.081
Mercedes,1262,91.72430665610142,89.37950000000001,9.5467674789763,76.676,145.466
Alpine,1156,91.81434256055364,89.5855,8.876434002426516,78.375,138.694
McLaren,1207,91.84118309859156,89.621,9.51593764790688,77.115,129.886
Williams,1148,91.91792160278746,90.0915,8.465623194356512,79.132,133.278
RB,420,92.21205476190477,96.5365,8.939908827913682,79.447,121.124
Aston Martin,1158,92.31027374784111,90.51599999999999,9.202282270568949,78.083,123.711
AlphaTauri,657,92.56118721461186,89.746,9.360078093891019,78.594,149.129
Haas F1 Team,1233,92.72047526358476,90.906,9.360397793289383,78.069,134.785
Alfa Romeo,716,93.03893994413407,89.731,9.247856231219833,78.242,127.673
